#SYM,AVAILABLE,REBATERATE,FEERATE
AKO.B,50000,-2.6897,8.0097
AKR,1500000,4.8372,0.4828
AKRBY,10000,5.0700,0.2500
AKRFF,1000,4.4146,0.9054
AKRK,10000,5.0700,0.2500
AKRO,350000,5.0700,0.2500
AKRYY,100,5.0700,0.2500
AKTAF,10000,-10.6912,16.0112
AKTS,2500000,4.4343,0.8857
AKTX,35000,-10.8605,16.1805
AKVA,600000,5.0700,0.2500
AKYA,150000,4.8773,0.4427
AKYI,5600000,5.0700,0.2500
AKZOY,300000,-1.4223,6.7423
AL,950000,4.9107,0.4093
ALAR,100000,-36.8451,42.1651
ALB,350000,4.9594,0.3606
ALBBY,4000,5.0700,0.2500
ALBKY,250000,5.0700,0.2500
ALBT,100000,-2.4344,7.7544
ALBY,1000,5.0700,0.2500
ALC,100000,4.7797,0.5403
ALCC,1100000,0.4567,4.8633
ALCE,100000,-39.5474,44.8674
ALCO,200000,5.0082,0.3118
ALCUF,300000,-29.0354,34.3554
ALCY,60000,-43.8775,49.1975
ALCYU,4000,4.1000,1.2200
ALDS,250000,-1.4311,6.7511
ALDVF,10000,-0.8869,6.2069
ALDX,1800000,2.3427,2.9773
ALE,600000,5.0700,0.2500
ALEAF,2500000,1.1670,4.1530
ALEC,350000,4.9119,0.4081
ALEX,700000,4.8073,0.5127
ALFIQ,250000,-10.5243,15.8443
ALFVY,9000,-0.3219,5.6419
ALG,150000,4.8794,0.4406
ALGGY,8000,5.0700,0.2500
ALGM,400000,5.0369,0.2831
ALGN,800000,5.0700,0.2500
ALGS,7600000,-7.0128,12.3328
ALGT,100000,5.0624,0.2576
ALHC,600000,4.9119,0.4081
ALID,150000,-1.7558,7.0758
ALIF,55000,5.0700,0.2500
ALIM,650000,-2.7386,8.0586
ALIT,4200000,4.9116,0.4084
ALIZY,90000,-6.4889,11.8089
ALK,1500000,5.0518,0.2682
ALKM,10000000,5.0700,0.2500
ALKN,30000,5.0700,0.2500
ALKS,950000,5.0256,0.2944
ALKT,350000,4.9039,0.4161
ALL,2200000,4.9119,0.4081
ALLE,600000,4.9119,0.4081
ALLG,100000,-31.4215,36.7415
ALLIF,500,-174.8085,180.1285
ALLK,350000,4.3735,0.9465
ALLN,100,5.0700,0.2500
ALLO,850000,4.9663,0.3537
ALLR,150000,-129.5695,134.8895
ALLT,750000,-1.1668,6.4868
ALLY,2800000,4.8982,0.4218
ALME,450000,5.0700,0.2500
ALMTF,20000,-16.0452,21.3652
ALMU,150000,5.0700,0.2500
ALNPY,1000,-3.1978,8.5178
ALNT,250000,4.8486,0.4714
ALNY,800000,5.0700,0.2500
ALOD,5000,5.0700,0.2500
ALOT,750000,4.2383,1.0817
ALPE,3000,5.0700,0.2500
ALPIB,2000,-10.0307,15.3507
ALPMY,500000,-5.2004,10.5204
ALPN,400000,4.5655,0.7545
ALPP,400000,-6.4928,11.8128
ALPSQ,350000,-1181.6876,1187.0076
ALRM,1000000,4.9119,0.4081
ALRN,150000,-23.1369,28.4569
ALRS,200000,4.6767,0.6433
ALRTF,1000000,-12.9924,18.3124
ALRY,2100000,5.0700,0.2500
ALSA,100000,-27.6288,32.9488
ALSI,15000,5.0700,0.2500
ALSMY,50000,-22.8078,28.1278
ALSN,1100000,4.9119,0.4081
ALST,450000,5.0700,0.2500
ALT,3000000,4.8073,0.5127
ALTD,200000,5.0700,0.2500
ALTG,25000,4.8899,0.4301
ALTI,20000,-4.5520,9.8720
ALTL,85000,-0.0109,5.3309
ALTM,9000000,4.9310,0.3890
ALTO,1500000,4.6094,0.7106
ALTR,85000,5.0661,0.2539
ALTU,55000,-9.2367,14.5567
ALTUU,2000,-0.8472,6.1672
ALTX,45000,4.4275,0.8925
ALTY,20000,-6.1323,11.4523
ALUM,300,-0.5765,5.8965
ALUR,100000,-9.4410,14.7610
ALV,250000,4.9119,0.4081
ALVLF,100000,-121.1041,126.4241
ALVO,400,-215.7609,221.0809
ALVOF,80000,-27.7019,33.0219
ALVR,950000,4.5722,0.7478
ALVRQ,80000,-5.2372,10.5572
ALX,15000,4.7008,0.6192
ALXO,100000,0.3810,4.9390
ALYA,25000,-2.3816,7.7016
ALYE,100,5.0700,0.2500
ALYI,10000000,5.0700,0.2500
ALZN,45000,-6.9881,12.3081
